label	f1	precision	recall
Alarm_bell_ringing	0.798	0.902	0.716
Blender	0.643	0.581	0.720
Cat	0.667	0.806	0.568
Dog	0.711	0.775	0.656
Dishes	0.564	0.708	0.468
Electric_shaver_toothbrush	0.750	0.698	0.811
Frying	0.652	0.603	0.710
Running_water	0.757	0.879	0.664
Speech	0.934	0.976	0.895
Vacuum_cleaner	0.708	0.850	0.607
macro	0.718	0.778	0.682
micro	0.793	0.853	0.740
