label	f1	precision	recall
Alarm_bell_ringing	0.814	0.877	0.759
Blender	0.621	0.545	0.720
Cat	0.702	0.738	0.670
Dog	0.699	0.737	0.664
Dishes	0.609	0.682	0.550
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.647	0.606	0.694
Running_water	0.773	0.860	0.702
Speech	0.931	0.980	0.887
Vacuum_cleaner	0.780	0.886	0.696
macro	0.734	0.763	0.715
micro	0.798	0.837	0.763
