label	f1	precision	recall
Alarm_bell_ringing	0.820	0.872	0.773
Blender	0.632	0.552	0.740
Cat	0.695	0.750	0.648
Dog	0.709	0.732	0.687
Dishes	0.593	0.740	0.495
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.636	0.612	0.661
Running_water	0.773	0.860	0.702
Speech	0.933	0.987	0.885
Vacuum_cleaner	0.747	0.860	0.661
macro	0.730	0.768	0.706
micro	0.799	0.844	0.758
