label	f1	precision	recall
Alarm_bell_ringing	0.821	0.866	0.780
Blender	0.638	0.561	0.740
Cat	0.684	0.812	0.591
Dog	0.733	0.795	0.679
Dishes	0.576	0.707	0.486
Electric_shaver_toothbrush	0.753	0.725	0.784
Frying	0.662	0.588	0.758
Running_water	0.739	0.859	0.649
Speech	0.935	0.980	0.893
Vacuum_cleaner	0.716	0.872	0.607
macro	0.726	0.776	0.697
micro	0.798	0.848	0.753
