label	f1	precision	recall
Alarm_bell_ringing	0.829	0.893	0.773
Blender	0.650	0.567	0.760
Cat	0.667	0.785	0.580
Dog	0.724	0.786	0.672
Dishes	0.624	0.753	0.532
Electric_shaver_toothbrush	0.741	0.682	0.811
Frying	0.696	0.644	0.758
Running_water	0.797	0.895	0.718
Speech	0.937	0.976	0.901
Vacuum_cleaner	0.729	0.875	0.625
macro	0.739	0.786	0.713
micro	0.809	0.857	0.767
