label	f1	precision	recall
Alarm_bell_ringing	0.805	0.918	0.716
Blender	0.643	0.581	0.720
Cat	0.662	0.794	0.568
Dog	0.695	0.769	0.634
Dishes	0.578	0.732	0.477
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.657	0.611	0.710
Running_water	0.757	0.879	0.664
Speech	0.935	0.976	0.897
Vacuum_cleaner	0.695	0.846	0.589
macro	0.718	0.782	0.679
micro	0.793	0.857	0.739
