label	f1	precision	recall
Alarm_bell_ringing	0.815	0.891	0.752
Blender	0.632	0.552	0.740
Cat	0.725	0.806	0.659
Dog	0.718	0.772	0.672
Dishes	0.552	0.738	0.440
Electric_shaver_toothbrush	0.753	0.725	0.784
Frying	0.662	0.588	0.758
Running_water	0.759	0.871	0.672
Speech	0.933	0.984	0.887
Vacuum_cleaner	0.750	0.900	0.643
macro	0.730	0.783	0.701
micro	0.799	0.853	0.751
