label	f1	precision	recall
Alarm_bell_ringing	0.803	0.844	0.766
Blender	0.644	0.559	0.760
Cat	0.712	0.773	0.659
Dog	0.690	0.710	0.672
Dishes	0.613	0.740	0.523
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.662	0.620	0.710
Running_water	0.765	0.850	0.695
Speech	0.935	0.987	0.889
Vacuum_cleaner	0.742	0.878	0.643
macro	0.733	0.767	0.713
micro	0.799	0.840	0.762
