label	f1	precision	recall
Alarm_bell_ringing	0.831	0.930	0.752
Blender	0.638	0.561	0.740
Cat	0.675	0.788	0.591
Dog	0.703	0.790	0.634
Dishes	0.588	0.765	0.477
Electric_shaver_toothbrush	0.723	0.652	0.811
Frying	0.657	0.611	0.710
Running_water	0.714	0.860	0.611
Speech	0.931	0.982	0.885
Vacuum_cleaner	0.784	0.870	0.714
macro	0.725	0.781	0.692
micro	0.795	0.858	0.740
