label	f1	precision	recall
Alarm_bell_ringing	0.802	0.910	0.716
Blender	0.685	0.623	0.760
Cat	0.649	0.778	0.557
Dog	0.707	0.746	0.672
Dishes	0.487	0.809	0.349
Electric_shaver_toothbrush	0.800	0.789	0.811
Frying	0.641	0.609	0.677
Running_water	0.715	0.878	0.603
Speech	0.934	0.978	0.893
Vacuum_cleaner	0.714	0.833	0.625
macro	0.713	0.795	0.666
micro	0.788	0.864	0.725
