label	f1	precision	recall
Alarm_bell_ringing	0.816	0.912	0.738
Blender	0.642	0.593	0.700
Cat	0.636	0.742	0.557
Dog	0.712	0.800	0.641
Dishes	0.536	0.763	0.413
Electric_shaver_toothbrush	0.716	0.659	0.784
Frying	0.662	0.632	0.694
Running_water	0.753	0.870	0.664
Speech	0.929	0.978	0.885
Vacuum_cleaner	0.729	0.765	0.696
macro	0.713	0.771	0.677
micro	0.790	0.856	0.733
