label	f1	precision	recall
Alarm_bell_ringing	0.800	0.895	0.723
Blender	0.650	0.567	0.760
Cat	0.671	0.845	0.557
Dog	0.710	0.763	0.664
Dishes	0.582	0.726	0.486
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.671	0.593	0.774
Running_water	0.752	0.854	0.672
Speech	0.945	0.981	0.911
Vacuum_cleaner	0.780	0.886	0.696
macro	0.732	0.782	0.706
micro	0.802	0.852	0.758
