label	f1	precision	recall
Alarm_bell_ringing	0.798	0.861	0.745
Blender	0.604	0.571	0.640
Cat	0.701	0.818	0.614
Dog	0.713	0.759	0.672
Dishes	0.597	0.750	0.495
Electric_shaver_toothbrush	0.769	0.732	0.811
Frying	0.657	0.590	0.742
Running_water	0.769	0.874	0.687
Speech	0.933	0.982	0.889
Vacuum_cleaner	0.750	0.812	0.696
macro	0.729	0.775	0.699
micro	0.799	0.851	0.753
