label	f1	precision	recall
Alarm_bell_ringing	0.797	0.867	0.738
Blender	0.512	0.656	0.420
Cat	0.680	0.823	0.580
Dog	0.569	0.750	0.458
Dishes	0.359	0.722	0.239
Electric_shaver_toothbrush	0.743	0.788	0.703
Frying	0.476	0.469	0.484
Running_water	0.636	0.802	0.527
Speech	0.894	0.967	0.831
Vacuum_cleaner	0.717	0.760	0.679
macro	0.638	0.760	0.566
micro	0.731	0.846	0.644
