label	f1	precision	recall
Alarm_bell_ringing	0.798	0.902	0.716
Blender	0.637	0.571	0.720
Cat	0.667	0.806	0.568
Dog	0.695	0.769	0.634
Dishes	0.578	0.732	0.477
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.652	0.614	0.694
Running_water	0.748	0.869	0.656
Speech	0.936	0.976	0.899
Vacuum_cleaner	0.695	0.846	0.589
macro	0.716	0.780	0.676
micro	0.792	0.855	0.738
