label	f1	precision	recall
Alarm_bell_ringing	0.794	0.901	0.709
Blender	0.637	0.571	0.720
Cat	0.671	0.797	0.580
Dog	0.695	0.769	0.634
Dishes	0.575	0.722	0.477
Electric_shaver_toothbrush	0.750	0.698	0.811
Frying	0.657	0.611	0.710
Running_water	0.765	0.889	0.672
Speech	0.932	0.976	0.891
Vacuum_cleaner	0.695	0.846	0.589
macro	0.717	0.778	0.679
micro	0.791	0.853	0.737
