label	f1	precision	recall
Alarm_bell_ringing	0.809	0.876	0.752
Blender	0.608	0.507	0.760
Cat	0.712	0.773	0.659
Dog	0.736	0.773	0.702
Dishes	0.578	0.732	0.477
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.643	0.577	0.726
Running_water	0.768	0.858	0.695
Speech	0.939	0.987	0.895
Vacuum_cleaner	0.745	0.826	0.679
macro	0.730	0.762	0.716
micro	0.800	0.840	0.764
