label	f1	precision	recall
Alarm_bell_ringing	0.800	0.874	0.738
Blender	0.650	0.557	0.780
Cat	0.636	0.762	0.545
Dog	0.723	0.763	0.687
Dishes	0.611	0.702	0.541
Electric_shaver_toothbrush	0.750	0.771	0.730
Frying	0.707	0.662	0.758
Running_water	0.745	0.860	0.656
Speech	0.933	0.976	0.893
Vacuum_cleaner	0.757	0.830	0.696
macro	0.731	0.776	0.703
micro	0.798	0.846	0.755
