label	f1	precision	recall
Alarm_bell_ringing	0.803	0.903	0.723
Blender	0.637	0.571	0.720
Cat	0.662	0.817	0.557
Dog	0.708	0.780	0.649
Dishes	0.562	0.725	0.459
Electric_shaver_toothbrush	0.744	0.707	0.784
Frying	0.636	0.600	0.677
Running_water	0.771	0.890	0.679
Speech	0.932	0.976	0.891
Vacuum_cleaner	0.702	0.868	0.589
macro	0.716	0.784	0.673
micro	0.792	0.858	0.736
