label	f1	precision	recall
Alarm_bell_ringing	0.812	0.904	0.738
Blender	0.642	0.593	0.700
Cat	0.648	0.852	0.523
Dog	0.680	0.735	0.634
Dishes	0.521	0.768	0.394
Electric_shaver_toothbrush	0.706	0.625	0.811
Frying	0.703	0.682	0.726
Running_water	0.715	0.878	0.603
Speech	0.925	0.971	0.883
Vacuum_cleaner	0.729	0.875	0.625
macro	0.708	0.788	0.664
micro	0.784	0.859	0.721
