label	f1	precision	recall
Alarm_bell_ringing	0.812	0.883	0.752
Blender	0.643	0.569	0.740
Cat	0.662	0.842	0.545
Dog	0.711	0.787	0.649
Dishes	0.550	0.758	0.431
Electric_shaver_toothbrush	0.737	0.718	0.757
Frying	0.667	0.656	0.677
Running_water	0.763	0.897	0.664
Speech	0.927	0.978	0.881
Vacuum_cleaner	0.702	0.868	0.589
macro	0.717	0.796	0.669
micro	0.792	0.866	0.730
