label	f1	precision	recall
Alarm_bell_ringing	0.791	0.872	0.723
Blender	0.629	0.600	0.660
Cat	0.632	0.750	0.545
Dog	0.689	0.743	0.641
Dishes	0.530	0.772	0.404
Electric_shaver_toothbrush	0.773	0.763	0.784
Frying	0.667	0.616	0.726
Running_water	0.733	0.900	0.618
Speech	0.933	0.976	0.893
Vacuum_cleaner	0.771	0.925	0.661
macro	0.715	0.792	0.666
micro	0.788	0.859	0.727
