label	f1	precision	recall
Alarm_bell_ringing	0.794	0.901	0.709
Blender	0.637	0.571	0.720
Cat	0.667	0.806	0.568
Dog	0.703	0.778	0.641
Dishes	0.578	0.732	0.477
Electric_shaver_toothbrush	0.759	0.714	0.811
Frying	0.657	0.611	0.710
Running_water	0.757	0.879	0.664
Speech	0.934	0.976	0.895
Vacuum_cleaner	0.695	0.846	0.589
macro	0.718	0.782	0.678
micro	0.793	0.856	0.738
