label	f1	precision	recall
Alarm_bell_ringing	0.797	0.909	0.709
Blender	0.649	0.578	0.740
Cat	0.667	0.806	0.568
Dog	0.694	0.757	0.641
Dishes	0.547	0.700	0.450
Electric_shaver_toothbrush	0.750	0.698	0.811
Frying	0.657	0.600	0.726
Running_water	0.751	0.878	0.656
Speech	0.934	0.976	0.895
Vacuum_cleaner	0.702	0.868	0.589
macro	0.715	0.777	0.679
micro	0.790	0.851	0.737
