label	f1	precision	recall
Alarm_bell_ringing	0.794	0.901	0.709
Blender	0.643	0.581	0.720
Cat	0.662	0.842	0.545
Dog	0.711	0.775	0.656
Dishes	0.570	0.729	0.468
Electric_shaver_toothbrush	0.744	0.707	0.784
Frying	0.647	0.595	0.710
Running_water	0.760	0.888	0.664
Speech	0.933	0.976	0.893
Vacuum_cleaner	0.716	0.872	0.607
macro	0.718	0.786	0.676
micro	0.793	0.858	0.737
